word,clicks,impressions,cost,convertedClicks
dinah,1,1,1.92,0,
mcdonouh,1,1,0.47,0,
herminia,1,1,0.12,0,
radziminski,1,1,0.12,0,
amoritta,1,1,1.64,0,
maver,1,1,1.39,1,
decrmber,1,1,0.82,0,
carlile,3,5,3.14,0,
jeannette,6,8,6.02,0,
herminie,1,1,0.99,0,
bravo,2,2,0.97,0,
druker,1,3,0.64,0,
jed,1,3,0.51,0,
twardokus,1,3,1.99,0,
kerns,1,1,1.33,0,
religa,1,2,1.35,0,
haviland,1,1,0.64,0,
time1,1,1,0.22,0,
sabille,1,1,0.24,0,
jen,1,2,0.3,0,
bhowli,2,9,0.69,0,
battistini,2,1,1.02,0,
ethline,1,1,0.94,0,
tatian,1,1,0.49,0,
jes,1,2,0.32,0,
middletown,14,12,12.25,0,
arthur,44,72,40.68,2,
timea,1,1,0.5,0,
vailtraina,1,2,0.34,0,
theodorus,1,2,0.9,0,
wallingford,1,1,0.64,0,
&,69,123,68.81999999999998,0,
folstad,1,1,1.38,0,
schieffelin,1,1,0.1,0,
*,1,1,1.28,0,
jfk,1,1,0.84,1,
overton,2,2,2.03,0,
3,112,141,77.77999999999999,1,
wetwang,1,1,0.73,0,
2,117,165,100.94000000000001,3,
1,121,152,85.52999999999996,2,
zierlein,2,2,2.5,0,
falkenstein,1,1,1.43,0,
0,2,2,1.45,0,
7,104,131,71.27999999999999,1,
6,109,141,85.92,3,
5,124,147,89.91999999999997,0,
4,100,127,74.33000000000003,3,
samala,1,1,0.45,0,
enquirer,1,0,1.0,0,
graciela,1,1,0.61,0,
9,100,134,68.58,1,
shunams,1,1,1.71,0,
8,120,151,89.72999999999996,0,
certifitic,2,1,2.9,0,
weyenberg,1,1,0.32,1,
compatibility,10,66,6.42,0,
wurtsboro,1,0,0.64,0,
jilks,1,1,0.57,0,
hadden,1,1,2.11,0,
romario,1,2,0.61,0,
hasenoehrl,1,1,0.37,0,
furness,1,1,0.85,0,
zeke,1,1,0.34,0,
boilogical,1,1,0.71,0,
times,21,42,17.740000000000002,1,
timer,1,3,1.04,0,
cliffwood,1,2,1.64,0,
ouachita,1,1,0.64,0,
helio,1,1,2.01,0,
beaton,1,1,0.3,0,
ilincic,1,1,1.0,0,
f,69,106,58.94,1,
g,97,133,71.67999999999999,4,
d,181,253,130.27,7,
e,210,262,156.92,3,
lafreniere,1,1,1.21,0,
b,110,244,87.64999999999999,1,
melbourne,6,6,4.73,0,
c,157,216,124.10999999999999,1,
grubbs,1,1,1.15,0,
a,2089,11200,2559.080000000001,40,
kailynn,1,1,1.18,0,
n,36,47,23.61,0,
consultant,1,1,0.62,0,
calibre's,1,2,0.71,0,
trumbull,6,11,7.3,0,
o,66,97,47.64000000000001,0,
l,225,294,187.26999999999995,5,
m,289,369,251.74,5,
j,277,361,213.57,1,
natrona,2,3,2.8499999999999996,0,
k,74,99,58.209999999999994,0,
h,83,104,63.059999999999995,1,
arrietta,1,1,1.89,0,
i,2185,6740,2375.310000000003,63,
w,92,121,75.02000000000002,2,
royer,1,1,0.75,0,
v,35,42,30.429999999999996,1,
califbirthcertificates,1,1,1.56,0,
u,42,49,41.779999999999994,0,
t,97,168,93.72000000000001,2,
slater,3,4,2.42,0,
s,125,159,97.94999999999999,1,
r,134,160,106.28,0,
q,2,2,1.49,0,
p,83,116,64.92000000000003,1,
ashlynn,1,2,0.74,0,
revords,4,5,2.93,0,
zell,1,1,1.46,0,
z,9,37,4.470000000000001,0,
bellflower,2,5,0.62,0,
muir,3,3,3.73,0,
y,8,9,3.62,0,
braxton,2,2,1.86,0,
svmh,1,2,0.44,0,
glasscock,2,2,1.9,0,
krivis,1,1,1.04,0,
britton,3,3,1.9700000000000002,0,
infant,11,26,9.550000000000002,0,
kerri,3,5,1.71,0,
basil,1,1,1.03,0,
poseidon's,1,1,1.16,0,
michaels,1,1,0.49,0,
dameon,1,1,0.1,0,
basic,1,4,0.24,0,
ronson,1,1,1.01,0,
swinson,3,2,3.74,0,
birthdaymessageforhim,1,1,0.86,0,
kerry,2,1,1.84,0,
jan,33,45,26.939999999999998,2,
spence,7,7,11.76,0,
jam,1,1,0.84,0,
fathers,34,63,40.47,1,
jah,1,2,0.33,0,
